transaction_id,account_id,transaction_type,channel,amount,currency,status,transaction_timestamp
e062bf1e-6ce4-47ac-9daa-ed3040a02c4c,ACC630122,PAYMENT,ATM,12603.15,EUR,PENDING,2026-09-12T06:20:51.135931
d3459ee4-e829-4e80-9a17-9087d9a37bcb,ACC428399,DEPOSIT,ONLINE,11795.9,EUR,PENDING,2026-09-03T14:22:34.097481
b9b4083b-7227-447c-afb5-90ab839073d4,ACC238038,WITHDRAWAL,BRANCH,8749.05,EUR,FAILED,2026-09-14T05:13:41.196432
a37c4a7c-90fa-4c62-8052-62053df03cef,ACC567712,PAYMENT,MOBILE,39867.81,EUR,REVERSED,2026-09-14T22:55:11.300344
ddb8fbfa-3a98-4d24-abcd-b3a2db857190,ACC593795,DEPOSIT,BRANCH,-20117.62,EUR,COMPLETED,2026-09-03T02:09:47.298761
5b4f0b42-005a-462e-8ae8-bdeb6f120810,ACC487886,WITHDRAWAL,BRANCH,47040.02,EUR,PENDING,2026-09-08T09:02:19.214198
b00ec568-5e24-410d-9008-62f33f55aec0,ACC419586,PAYMENT,BRANCH,38731.26,EUR,PENDING,2026-08-21T14:35:18.209339
9c0bc9b0-4b35-4173-9039-13b139540008,ACC882296,WITHDRAWAL,BRANCH,35602.82,EUR,PENDING,2026-09-14T08:29:21.191400
0fecd3c0-f40b-4265-8c47-ff0373088d31,ACC869151,WITHDRAWAL,MOBILE,12196.92,EUR,COMPLETED,2026-08-21T01:07:45.143989
89a7ad28-c261-41a2-b8ae-0728947d77de,ACC460633,TRANSFER,POS,38892.25,EUR,PENDING,2026-09-01T12:10:54.289536
862c662e-4cc2-4de0-b9f6-27e39c76f3f7,ACC218930,DEPOSIT,MOBILE,-1671.41,EUR,COMPLETED,2026-08-29T05:54:35.295892
f7063101-8eec-49ee-87f9-17fc7e6f218e,ACC545348,DEPOSIT,ATM,-4407.69,EUR,PENDING,2026-09-02T16:01:14.188855
b04dcd07-c4df-4977-a937-bfc83759e896,ACC299296,DEPOSIT,ATM,28478.32,EUR,FAILED,2026-09-05T10:35:52.182052
40f66b06-5796-4733-aa48-2e34b64509cf,ACC398115,PAYMENT,MOBILE,36364.43,EUR,COMPLETED,2026-08-28T17:39:06.175989
94cef7d9-ce8f-454b-9d05-1e775042188f,ACC381567,WITHDRAWAL,ATM,23834.29,EUR,COMPLETED,2026-08-18T05:23:43.270415
770523c1-4880-48bb-aaac-30dde5fccccd,ACC856508,DEPOSIT,ONLINE,-2882.08,EUR,PENDING,2026-08-26T05:21:34.221301
be5ffed0-5383-4356-bd54-1057fe0870c0,ACC228028,PAYMENT,POS,10306.53,EUR,COMPLETED,2026-09-02T18:30:53.119469
b6ebd297-ffa3-4577-990e-e967d11ffbd1,ACC244363,DEPOSIT,ATM,30531.74,EUR,FAILED,2026-09-04T15:46:12.204764
3688498f-403d-4108-8aeb-96ba0b3e4392,ACC191172,DEPOSIT,BRANCH,44176.03,EUR,REVERSED,2026-08-31T12:44:20.267187
e9c836ae-ef17-483b-9877-d953db7d87be,ACC992253,WITHDRAWAL,POS,11662.61,EUR,COMPLETED,2026-08-29T01:41:26.114078
95cb39e3-cbda-4800-9d66-9816b2375f0a,ACC477818,TRANSFER,BRANCH,22257.56,EUR,FAILED,2026-08-22T12:34:36.130093
ec516822-11c3-420d-8c29-af3baadd1c60,ACC494340,WITHDRAWAL,ONLINE,2620.56,EUR,COMPLETED,2026-09-08T18:26:30.229021
fdabfc0d-3ad3-4c5d-b8a4-df102b297a90,ACC877238,DEPOSIT,POS,41200.49,EUR,REVERSED,2026-09-07T08:50:04.268492
57e951d5-fc3c-443b-97f8-68942701636f,ACC517131,TRANSFER,MOBILE,45742.58,EUR,PENDING,2026-08-20T23:30:41.179157
a3697e8a-759d-4acf-91c9-829dcdd1b70a,ACC286851,DEPOSIT,ONLINE,33582.24,EUR,REVERSED,2026-09-03T08:56:20.133655
9bba7785-1eb0-45dc-9ec7-2cb00cc8492e,ACC430932,TRANSFER,MOBILE,11502.98,EUR,FAILED,2026-08-21T17:54:23.228542
21604f06-0fc3-4e97-b9a8-d7e658960ce0,ACC901512,TRANSFER,ONLINE,-3290.63,EUR,PENDING,2026-08-28T03:35:58.160675
4200c43b-54bb-455d-951c-c960a6cefc31,ACC336815,WITHDRAWAL,ATM,4834.02,EUR,REVERSED,2026-08-18T17:34:33.179678
0c68594c-1d85-4cd9-9355-d285219a5442,ACC143347,PAYMENT,POS,2500.82,EUR,PENDING,2026-09-07T17:08:18.181906
ec54139b-e1b4-4e7d-83cb-b38018d5dfc8,ACC364608,TRANSFER,BRANCH,7885.25,EUR,COMPLETED,2026-09-01T16:05:50.206826
fbe3bf30-7c1d-4eb3-8f7c-5bcfd89fe9f6,ACC240156,PAYMENT,BRANCH,33957.32,EUR,PENDING,2026-09-14T12:58:31.154310
4841c9f4-0d57-4aa4-ab62-733c33d142c5,ACC257981,PAYMENT,MOBILE,5493.12,EUR,FAILED,2026-09-15T04:54:34.163663
091d62f9-72f9-4f27-859d-fc0c2da20c6f,ACC305309,DEPOSIT,ONLINE,27658.02,EUR,FAILED,2026-09-04T07:03:15.297801
42d170ac-bc1c-44bc-a517-967083e3b629,ACC306985,TRANSFER,MOBILE,19649.39,EUR,COMPLETED,2026-08-29T08:54:06.243780
0b66bc3a-68e9-4da5-8d08-7b0bde728c14,ACC848220,DEPOSIT,ATM,8148.14,EUR,PENDING,2026-08-27T10:24:02.231217
47f41569-f896-4f23-b77a-c5c23a30d3bf,ACC311101,WITHDRAWAL,POS,4054.89,EUR,REVERSED,2026-09-07T05:49:40.201775
836524e4-b96b-4e98-8669-af3c31696f41,ACC623940,TRANSFER,ONLINE,44786.89,EUR,REVERSED,2026-08-16T15:54:53.240766
40f92d1f-9517-439d-8d21-79796c2713b9,ACC546087,DEPOSIT,POS,11561.82,EUR,COMPLETED,2026-08-27T00:59:05.132162
4e9844aa-a949-4465-b57a-c94b6682ee7c,ACC419690,WITHDRAWAL,POS,47506.05,EUR,FAILED,2026-08-30T07:35:23.152126
a13fd153-6d94-4643-8ab6-17afd7a24966,ACC158587,PAYMENT,ATM,23276.19,EUR,COMPLETED,2026-09-05T14:15:31.173748
898abfd0-1559-4486-931b-b3f3dea68a7d,ACC973044,WITHDRAWAL,MOBILE,49520.81,EUR,FAILED,2026-08-29T23:12:14.246554
8d522c7e-1356-4bab-81ad-a56b8bda5d1d,ACC644673,TRANSFER,ONLINE,15843.98,EUR,PENDING,2026-08-18T03:28:29.253827
72610401-468f-444d-8a0d-9c90f89b52ac,ACC444287,WITHDRAWAL,ATM,8339.64,EUR,PENDING,2026-08-24T14:40:00.150956
d62399d0-5064-4229-8b6b-a8ea5e03db00,ACC928892,PAYMENT,ATM,14413.22,EUR,FAILED,2026-08-17T22:05:10.232058
a8409d74-f635-4f1a-9e95-9c7f261b24fd,ACC975723,TRANSFER,POS,11444.62,EUR,REVERSED,2026-08-24T00:01:40.244412
14cd6fe8-a30b-41b3-9559-964cfec89822,ACC254691,WITHDRAWAL,POS,11429.98,EUR,COMPLETED,2026-09-13T13:09:54.258189
87a90dd8-0fdb-4192-be21-cc471fe5e886,ACC213492,DEPOSIT,POS,10971.56,EUR,REVERSED,2026-08-29T17:21:45.195234
b58a8382-39f4-4da7-8761-b7c24f573db7,ACC241275,WITHDRAWAL,POS,7886.11,EUR,COMPLETED,2026-09-05T04:57:23.167117
30269a1e-cd3b-4563-8d0e-09ff8fbf49a0,ACC378748,WITHDRAWAL,MOBILE,21077.09,EUR,PENDING,2026-08-19T15:13:13.182327
9bc22e1d-fa68-495d-a154-f9665db4c628,ACC862627,DEPOSIT,MOBILE,38504.85,EUR,COMPLETED,2026-08-24T14:31:02.106396
c527c931-c8fd-438d-846b-0b815f7b3f86,ACC330580,TRANSFER,MOBILE,12844.44,EUR,REVERSED,2026-08-18T02:12:22.292071
3a2a4a15-34db-4dde-83c7-fc4fb9325357,ACC907869,TRANSFER,MOBILE,32872.62,EUR,FAILED,2026-08-29T20:00:03.190801
f12f76e8-3cf6-4f1b-90e5-e51c8f73449a,ACC199226,TRANSFER,ONLINE,24225.2,EUR,REVERSED,2026-09-06T03:02:25.294103
b57ad500-722f-42c5-93bb-d77434dda622,ACC119625,TRANSFER,ONLINE,31480.71,EUR,REVERSED,2026-09-09T23:09:07.132873
424330c7-2aac-4097-8f7f-3fe340b4cc36,ACC608143,PAYMENT,ONLINE,-4186.85,EUR,FAILED,2026-08-21T02:30:56.208525
